R_um,D_um,s_um,C_GND_GND_F,C_feedline_feedline_F,C_island_island_F,C_GND_feedline_F,C_GND_island_F,C_feedline_island_F,row_sum_GND_F,row_sum_feedline_F,row_sum_island_F,missing_cap_GND_F,missing_cap_feedline_F,missing_cap_island_F
20.0,500.0,24.0,7.097e-13,1.946e-13,8.681e-15,-1.915e-13,-8.454e-15,-8.645e-18,5.097e-13,3.1e-15,2.184e-16,-5.097e-13,-3.1e-15,-2.184e-16
20.0,500.0,32.0,7.096e-13,1.942e-13,9.081e-15,-1.911e-13,-8.827e-15,-9.657e-18,5.097e-13,3.115e-15,2.444e-16,-5.097e-13,-3.115e-15,-2.444e-16
20.0,500.0,40.0,7.095e-13,1.943e-13,8.979e-15,-1.912e-13,-8.699e-15,-1.063e-17,5.096e-13,3.114e-15,2.693e-16,-5.096e-13,-3.114e-15,-2.693e-16
20.0,500.0,48.0,7.096e-13,1.943e-13,9.148e-15,-1.912e-13,-8.838e-15,-1.189e-17,5.096e-13,3.118e-15,2.98e-16,-5.096e-13,-3.118e-15,-2.98e-16
20.0,500.0,56.0,7.093e-13,1.943e-13,9.022e-15,-1.912e-13,-8.659e-15,-1.403e-17,5.095e-13,3.12e-15,3.497e-16,-5.095e-13,-3.12e-15,-3.497e-16
20.0,500.0,64.0,7.093e-13,1.943e-13,9.082e-15,-1.912e-13,-8.699e-15,-1.476e-17,5.095e-13,3.121e-15,3.688e-16,-5.095e-13,-3.121e-15,-3.688e-16
20.0,500.0,72.0,7.096e-13,1.944e-13,9.256e-15,-1.913e-13,-8.845e-15,-1.586e-17,5.095e-13,3.115e-15,3.951e-16,-5.095e-13,-3.115e-15,-3.951e-16
20.0,500.0,80.0,7.094e-13,1.945e-13,9.022e-15,-1.914e-13,-8.6e-15,-1.632e-17,5.094e-13,3.114e-15,4.059e-16,-5.094e-13,-3.114e-15,-4.059e-16
20.0,600.0,8.0,7.103e-13,1.945e-13,9.232e-15,-1.914e-13,-9.08e-15,-4e-18,5.098e-13,3.11e-15,1.484e-16,-5.098e-13,-3.11e-15,-1.484e-16
20.0,600.0,16.0,7.097e-13,1.945e-13,8.771e-15,-1.914e-13,-8.563e-15,-5.428e-18,5.097e-13,3.104e-15,2.021e-16,-5.097e-13,-3.104e-15,-2.021e-16
20.0,600.0,24.0,7.1e-13,1.949e-13,8.673e-15,-1.918e-13,-8.446e-15,-5.914e-18,5.097e-13,3.089e-15,2.203e-16,-5.097e-13,-3.089e-15,-2.203e-16
20.0,600.0,32.0,7.097e-13,1.944e-13,9.061e-15,-1.913e-13,-8.805e-15,-6.693e-18,5.097e-13,3.103e-15,2.486e-16,-5.097e-13,-3.103e-15,-2.486e-16
20.0,600.0,40.0,7.097e-13,1.945e-13,8.949e-15,-1.914e-13,-8.663e-15,-7.504e-18,5.096e-13,3.105e-15,2.784e-16,-5.096e-13,-3.105e-15,-2.784e-16
20.0,600.0,48.0,7.101e-13,1.947e-13,9.146e-15,-1.916e-13,-8.838e-15,-8.086e-18,5.096e-13,3.098e-15,2.996e-16,-5.096e-13,-3.098e-15,-2.996e-16
20.0,600.0,56.0,7.095e-13,1.944e-13,9.031e-15,-1.913e-13,-8.674e-15,-9.443e-18,5.095e-13,3.107e-15,3.472e-16,-5.095e-13,-3.107e-15,-3.472e-16
20.0,600.0,64.0,7.097e-13,1.946e-13,9.084e-15,-1.915e-13,-8.704e-15,-1.002e-17,5.095e-13,3.104e-15,3.695e-16,-5.095e-13,-3.104e-15,-3.695e-16
20.0,600.0,72.0,7.095e-13,1.943e-13,9.257e-15,-1.912e-13,-8.85e-15,-1.079e-17,5.095e-13,3.115e-15,3.96e-16,-5.095e-13,-3.115e-15,-3.96e-16
20.0,600.0,80.0,7.092e-13,1.944e-13,9.023e-15,-1.912e-13,-8.605e-15,-1.109e-17,5.094e-13,3.117e-15,4.068e-16,-5.094e-13,-3.117e-15,-4.068e-16
20.0,700.0,8.0,7.103e-13,1.946e-13,9.148e-15,-1.915e-13,-8.987e-15,-3.049e-18,5.098e-13,3.103e-15,1.583e-16,-5.098e-13,-3.103e-15,-1.583e-16
20.0,700.0,16.0,7.099e-13,1.946e-13,8.807e-15,-1.915e-13,-8.604e-15,-3.836e-18,5.098e-13,3.105e-15,1.991e-16,-5.098e-13,-3.105e-15,-1.991e-16
20.0,700.0,24.0,7.098e-13,1.947e-13,8.679e-15,-1.916e-13,-8.453e-15,-4.268e-18,5.097e-13,3.097e-15,2.217e-16,-5.097e-13,-3.097e-15,-2.217e-16
20.0,700.0,32.0,7.1e-13,1.946e-13,9.063e-15,-1.915e-13,-8.806e-15,-4.838e-18,5.097e-13,3.1e-15,2.517e-16,-5.097e-13,-3.1e-15,-2.517e-16
20.0,700.0,40.0,7.099e-13,1.947e-13,8.991e-15,-1.916e-13,-8.715e-15,-5.204e-18,5.096e-13,3.098e-15,2.709e-16,-5.096e-13,-3.098e-15,-2.709e-16
20.0,700.0,48.0,7.095e-13,1.942e-13,9.152e-15,-1.911e-13,-8.844e-15,-5.862e-18,5.096e-13,3.115e-15,3.021e-16,-5.096e-13,-3.115e-15,-3.021e-16
20.0,700.0,56.0,7.096e-13,1.945e-13,9.044e-15,-1.914e-13,-8.693e-15,-6.667e-18,5.095e-13,3.105e-15,3.452e-16,-5.095e-13,-3.105e-15,-3.452e-16
20.0,700.0,64.0,7.095e-13,1.944e-13,9.08e-15,-1.913e-13,-8.698e-15,-7.305e-18,5.095e-13,3.11e-15,3.754e-16,-5.095e-13,-3.11e-15,-3.754e-16
20.0,700.0,72.0,7.097e-13,1.946e-13,9.249e-15,-1.915e-13,-8.836e-15,-7.837e-18,5.095e-13,3.107e-15,4.053e-16,-5.095e-13,-3.107e-15,-4.053e-16
20.0,700.0,80.0,7.093e-13,1.944e-13,9.024e-15,-1.912e-13,-8.605e-15,-7.983e-18,5.094e-13,3.114e-15,4.115e-16,-5.094e-13,-3.114e-15,-4.115e-16
20.0,800.0,8.0,7.104e-13,1.946e-13,9.29e-15,-1.915e-13,-9.138e-15,-2.148e-18,5.098e-13,3.103e-15,1.504e-16,-5.098e-13,-3.103e-15,-1.504e-16
20.0,800.0,16.0,7.101e-13,1.949e-13,8.803e-15,-1.918e-13,-8.597e-15,-2.899e-18,5.097e-13,3.1e-15,2.032e-16,-5.097e-13,-3.1e-15,-2.032e-16
20.0,800.0,24.0,7.097e-13,1.946e-13,8.683e-15,-1.915e-13,-8.455e-15,-3.218e-18,5.097e-13,3.1e-15,2.254e-16,-5.097e-13,-3.1e-15,-2.254e-16
20.0,800.0,32.0,7.098e-13,1.945e-13,9.067e-15,-1.914e-13,-8.806e-15,-3.69e-18,5.097e-13,3.102e-15,2.576e-16,-5.097e-13,-3.102e-15,-2.576e-16
20.0,800.0,40.0,7.1e-13,1.948e-13,8.991e-15,-1.916e-13,-8.71e-15,-3.95e-18,5.096e-13,3.099e-15,2.77e-16,-5.096e-13,-3.099e-15,-2.77e-16
20.0,800.0,48.0,7.097e-13,1.944e-13,9.155e-15,-1.913e-13,-8.843e-15,-4.421e-18,5.096e-13,3.11e-15,3.079e-16,-5.096e-13,-3.11e-15,-3.079e-16
20.0,800.0,56.0,7.093e-13,1.943e-13,9.034e-15,-1.911e-13,-8.671e-15,-5.159e-18,5.095e-13,3.115e-15,3.58e-16,-5.095e-13,-3.115e-15,-3.58e-16
20.0,800.0,64.0,7.093e-13,1.942e-13,9.087e-15,-1.911e-13,-8.701e-15,-5.476e-18,5.094e-13,3.118e-15,3.807e-16,-5.094e-13,-3.118e-15,-3.807e-16
20.0,800.0,72.0,7.093e-13,1.941e-13,9.295e-15,-1.91e-13,-8.899e-15,-5.691e-18,5.094e-13,3.117e-15,3.902e-16,-5.094e-13,-3.117e-15,-3.902e-16
20.0,800.0,80.0,7.09e-13,1.941e-13,9.025e-15,-1.91e-13,-8.6e-15,-6.078e-18,5.094e-13,3.117e-15,4.198e-16,-5.094e-13,-3.117e-15,-4.198e-16
20.0,900.0,8.0,7.104e-13,1.946e-13,9.266e-15,-1.915e-13,-9.105e-15,-1.744e-18,5.098e-13,3.103e-15,1.59e-16,-5.098e-13,-3.103e-15,-1.59e-16
20.0,900.0,16.0,7.1e-13,1.949e-13,8.766e-15,-1.918e-13,-8.546e-15,-2.368e-18,5.097e-13,3.101e-15,2.173e-16,-5.097e-13,-3.101e-15,-2.173e-16
20.0,900.0,24.0,7.096e-13,1.946e-13,8.682e-15,-1.915e-13,-8.445e-15,-2.558e-18,5.097e-13,3.1e-15,2.34e-16,-5.097e-13,-3.1e-15,-2.34e-16
20.0,900.0,32.0,7.097e-13,1.944e-13,9.046e-15,-1.913e-13,-8.773e-15,-2.953e-18,5.096e-13,3.108e-15,2.7e-16,-5.096e-13,-3.108e-15,-2.7e-16
20.0,900.0,40.0,7.098e-13,1.946e-13,8.984e-15,-1.915e-13,-8.692e-15,-3.15e-18,5.096e-13,3.102e-15,2.887e-16,-5.096e-13,-3.102e-15,-2.887e-16
20.0,900.0,48.0,7.099e-13,1.946e-13,9.153e-15,-1.915e-13,-8.83e-15,-3.495e-18,5.095e-13,3.104e-15,3.197e-16,-5.095e-13,-3.104e-15,-3.197e-16
20.0,900.0,56.0,7.097e-13,1.947e-13,9.035e-15,-1.916e-13,-8.661e-15,-4.051e-18,5.095e-13,3.102e-15,3.698e-16,-5.095e-13,-3.102e-15,-3.698e-16
20.0,900.0,64.0,7.097e-13,1.946e-13,9.092e-15,-1.915e-13,-8.696e-15,-4.284e-18,5.094e-13,3.106e-15,3.914e-16,-5.094e-13,-3.106e-15,-3.914e-16
20.0,900.0,72.0,7.095e-13,1.944e-13,9.272e-15,-1.912e-13,-8.851e-15,-4.583e-18,5.094e-13,3.112e-15,4.159e-16,-5.094e-13,-3.112e-15,-4.159e-16
20.0,900.0,80.0,7.107e-13,1.942e-13,9.615e-15,-1.911e-13,-9.595e-15,5.861e-19,5.101e-13,3.113e-15,2.091e-17,-5.101e-13,-3.113e-15,-2.091e-17
20.0,1000.0,8.0,7.104e-13,1.946e-13,9.275e-15,-1.915e-13,-9.11e-15,-1.402e-18,5.098e-13,3.103e-15,1.641e-16,-5.098e-13,-3.103e-15,-1.641e-16
20.0,1000.0,16.0,7.1e-13,1.949e-13,8.765e-15,-1.918e-13,-8.535e-15,-1.94e-18,5.097e-13,3.101e-15,2.277e-16,-5.097e-13,-3.101e-15,-2.277e-16
20.0,1000.0,24.0,7.096e-13,1.946e-13,8.645e-15,-1.915e-13,-8.388e-15,-2.167e-18,5.097e-13,3.1e-15,2.543e-16,-5.097e-13,-3.1e-15,-2.543e-16
20.0,1000.0,32.0,7.097e-13,1.944e-13,9.059e-15,-1.913e-13,-8.776e-15,-2.396e-18,5.096e-13,3.108e-15,2.805e-16,-5.096e-13,-3.108e-15,-2.805e-16
20.0,1000.0,40.0,7.098e-13,1.946e-13,9.005e-15,-1.915e-13,-8.706e-15,-2.527e-18,5.096e-13,3.101e-15,2.969e-16,-5.096e-13,-3.101e-15,-2.969e-16
20.0,1000.0,48.0,7.097e-13,1.944e-13,9.171e-15,-1.913e-13,-8.842e-15,-2.792e-18,5.096e-13,3.106e-15,3.264e-16,-5.096e-13,-3.106e-15,-3.264e-16
20.0,1000.0,56.0,7.095e-13,1.946e-13,9.021e-15,-1.915e-13,-8.621e-15,-3.381e-18,5.095e-13,3.101e-15,3.96e-16,-5.095e-13,-3.101e-15,-3.96e-16
20.0,1000.0,64.0,7.096e-13,1.947e-13,9.09e-15,-1.915e-13,-8.674e-15,-3.524e-18,5.094e-13,3.103e-15,4.124e-16,-5.094e-13,-3.103e-15,-4.124e-16
20.0,1000.0,72.0,7.095e-13,1.944e-13,9.251e-15,-1.913e-13,-8.797e-15,-3.859e-18,5.094e-13,3.109e-15,4.501e-16,-5.094e-13,-3.109e-15,-4.501e-16
20.0,1000.0,80.0,7.092e-13,1.944e-13,9.019e-15,-1.913e-13,-8.554e-15,-3.95e-18,5.093e-13,3.109e-15,4.613e-16,-5.093e-13,-3.109e-15,-4.613e-16
40.0,100.0,8.0,7.125e-13,1.951e-13,1.188e-14,-1.917e-13,-1.125e-14,-3.191e-16,5.096e-13,3.113e-15,3.139e-16,-5.096e-13,-3.113e-15,-3.139e-16
40.0,100.0,16.0,7.126e-13,1.954e-13,1.182e-14,-1.919e-13,-1.114e-14,-3.537e-16,5.096e-13,3.116e-15,3.256e-16,-5.096e-13,-3.116e-15,-3.256e-16
40.0,100.0,24.0,7.125e-13,1.956e-13,1.163e-14,-1.921e-13,-1.087e-14,-4.04e-16,5.095e-13,3.127e-15,3.558e-16,-5.095e-13,-3.127e-15,-3.558e-16
40.0,100.0,32.0,7.118e-13,1.954e-13,1.153e-14,-1.918e-13,-1.06e-14,-5.085e-16,5.094e-13,3.15e-15,4.183e-16,-5.094e-13,-3.15e-15,-4.183e-16
40.0,100.0,40.0,7.118e-13,1.957e-13,1.141e-14,-1.92e-13,-1.041e-14,-5.721e-16,5.094e-13,3.164e-15,4.265e-16,-5.094e-13,-3.164e-15,-4.265e-16
40.0,100.0,48.0,7.115e-13,1.959e-13,1.135e-14,-1.92e-13,-1.021e-14,-6.895e-16,5.093e-13,3.194e-15,4.489e-16,-5.093e-13,-3.194e-15,-4.489e-16
40.0,200.0,8.0,7.119e-13,1.939e-13,1.198e-14,-1.907e-13,-1.162e-14,-7.475e-17,5.096e-13,3.129e-15,2.892e-16,-5.096e-13,-3.129e-15,-2.892e-16
40.0,200.0,16.0,7.118e-13,1.942e-13,1.171e-14,-1.909e-13,-1.13e-14,-8.436e-17,5.096e-13,3.127e-15,3.271e-16,-5.096e-13,-3.127e-15,-3.271e-16
40.0,200.0,24.0,7.118e-13,1.944e-13,1.153e-14,-1.912e-13,-1.108e-14,-9.289e-17,5.095e-13,3.12e-15,3.59e-16,-5.095e-13,-3.12e-15,-3.59e-16
40.0,200.0,32.0,7.114e-13,1.943e-13,1.144e-14,-1.91e-13,-1.091e-14,-1.113e-16,5.095e-13,3.126e-15,4.216e-16,-5.095e-13,-3.126e-15,-4.216e-16
40.0,200.0,40.0,7.112e-13,1.943e-13,1.131e-14,-1.91e-13,-1.075e-14,-1.167e-16,5.094e-13,3.131e-15,4.416e-16,-5.094e-13,-3.131e-15,-4.416e-16
40.0,200.0,48.0,7.112e-13,1.945e-13,1.122e-14,-1.912e-13,-1.061e-14,-1.322e-16,5.093e-13,3.135e-15,4.784e-16,-5.093e-13,-3.135e-15,-4.784e-16
40.0,200.0,56.0,7.109e-13,1.943e-13,1.119e-14,-1.91e-13,-1.055e-14,-1.383e-16,5.093e-13,3.145e-15,4.984e-16,-5.093e-13,-3.145e-15,-4.984e-16
40.0,200.0,64.0,7.11e-13,1.946e-13,1.115e-14,-1.913e-13,-1.048e-14,-1.5e-16,5.093e-13,3.146e-15,5.198e-16,-5.093e-13,-3.146e-15,-5.198e-16
40.0,200.0,72.0,7.11e-13,1.947e-13,1.11e-14,-1.913e-13,-1.039e-14,-1.626e-16,5.092e-13,3.153e-15,5.471e-16,-5.092e-13,-3.153e-15,-5.471e-16
40.0,200.0,80.0,7.112e-13,1.95e-13,1.106e-14,-1.917e-13,-1.032e-14,-1.704e-16,5.092e-13,3.156e-15,5.741e-16,-5.092e-13,-3.156e-15,-5.741e-16
40.0,300.0,8.0,7.117e-13,1.938e-13,1.18e-14,-1.906e-13,-1.146e-14,-3.456e-17,5.096e-13,3.133e-15,3.065e-16,-5.096e-13,-3.133e-15,-3.065e-16
40.0,300.0,16.0,7.117e-13,1.94e-13,1.164e-14,-1.909e-13,-1.128e-14,-3.758e-17,5.096e-13,3.125e-15,3.312e-16,-5.096e-13,-3.125e-15,-3.312e-16
40.0,300.0,24.0,7.118e-13,1.943e-13,1.152e-14,-1.911e-13,-1.113e-14,-4.015e-17,5.095e-13,3.117e-15,3.53e-16,-5.095e-13,-3.117e-15,-3.53e-16
40.0,300.0,32.0,7.114e-13,1.942e-13,1.141e-14,-1.91e-13,-1.094e-14,-4.837e-17,5.094e-13,3.122e-15,4.21e-16,-5.094e-13,-3.122e-15,-4.21e-16
40.0,300.0,40.0,7.115e-13,1.945e-13,1.128e-14,-1.913e-13,-1.079e-14,-5.066e-17,5.094e-13,3.116e-15,4.416e-16,-5.094e-13,-3.116e-15,-4.416e-16
40.0,300.0,48.0,7.113e-13,1.944e-13,1.123e-14,-1.912e-13,-1.071e-14,-5.381e-17,5.094e-13,3.124e-15,4.648e-16,-5.094e-13,-3.124e-15,-4.648e-16
40.0,300.0,56.0,7.114e-13,1.946e-13,1.117e-14,-1.915e-13,-1.062e-14,-5.724e-17,5.094e-13,3.115e-15,4.954e-16,-5.094e-13,-3.115e-15,-4.954e-16
